Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sword-of-emberlight,Sword of Emberlight,A blazing blade said to be forged from dragonfire itself.,,,,,,,,,,,,,,,,deny,manual,"1,500,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/sword-of-emberlight.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/sword-of-emberlight.png,,,,,,,,,,active
frostbite-dagger,Frostbite Dagger,Quick and deadly; leaves a chilling mark on its foes.,,,,,,,,,,,,,,,,deny,manual,"850,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/frostbite-dagger.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/frostbite-dagger.png,,,,,,,,,,active
thunder-pike,Thunder Pike,A spear crackling with the essence of a storm titan.,,,,,,,,,,,,,,,,deny,manual,"1,200,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/thunder-pike.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/thunder-pike.png,,,,,,,,,,active
aegis-of-the-fallen-king,Aegis of the Fallen King,The shield that turned the tide of the Shadow War.,,,,,,,,,,,,,,,,deny,manual,"2,000,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/aegis-of-the-fallen-king.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/aegis-of-the-fallen-king.png,,,,,,,,,,active
spectral-cloak,Spectral Cloak,A cloak that lets the wearer fade from mortal sight.,,,,,,,,,,,,,,,,deny,manual,"1,400,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/spectral-cloak.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/spectral-cloak.png,,,,,,,,,,active
helm-of-radiance,Helm of Radiance,Said to channel the light of forgotten gods.,,,,,,,,,,,,,,,,deny,manual,"1,650,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/helm-of-radiance.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/helm-of-radiance.png,,,,,,,,,,active
orb-of-eternity,Orb of Eternity,Holds a spark of timeless magic — dangerous yet divine.,,,,,,,,,,,,,,,,deny,manual,"3,500,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/orb-of-eternity.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/orb-of-eternity.png,,,,,,,,,,active
phoenix-feather-charm,Phoenix Feather Charm,"Burns once, revives its holder once per moon.",,,,,,,,,,,,,,,,deny,manual,"2,500,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/phoenix-feather-charm.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/phoenix-feather-charm.png,,,,,,,,,,active
runestone-of-binding,Runestone of Binding,Used by wizards to seal creatures of immense power.,,,,,,,,,,,,,,,,deny,manual,"2,800,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/runestone-of-binding.png,,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/runestone-of-binding.png,,,,,,,,,,active
elixir-of-fortitude,Elixir of Fortitude,Restores health and strengthens resistance.,,,,,,Size,Small,,,,,,,,,deny,manual,"15,000",,,,,https://mrlescodes.github.io/shopify-test-data/images/elixir-of-fortitude-sm.png,1,,,,,,,,,,,https://mrlescodes.github.io/shopify-test-data/images/elixir-of-fortitude-sm.png,,,,,,,,,,active
